Week Ending Date,Report Date,Date,Weighted Prices,Sales
03/30/2019,04/03/2019,03/02/2019,1.5653,"10,746,556"
03/30/2019,04/03/2019,03/09/2019,1.6111,"11,541,511"
03/30/2019,04/03/2019,03/16/2019,1.6212,"10,778,178"
03/30/2019,04/03/2019,03/23/2019,1.6002,"9,776,560"
03/30/2019,04/03/2019,03/30/2019,1.5957,"10,509,114"
03/23/2019,03/27/2019,03/23/2019,1.5999,"9,482,577"
03/23/2019,03/27/2019,03/16/2019,1.6212,"10,778,178"
03/23/2019,03/27/2019,03/09/2019,1.6111,"11,541,511"
03/23/2019,03/27/2019,03/02/2019,1.5653,"10,746,556"
03/23/2019,03/27/2019,02/23/2019,1.5168,"12,216,102"
03/16/2019,03/20/2019,02/16/2019,1.4665,"11,052,838"
03/16/2019,03/20/2019,02/23/2019,1.5168,"12,216,102"
03/16/2019,03/20/2019,03/02/2019,1.5653,"10,746,556"
03/16/2019,03/20/2019,03/09/2019,1.6111,"11,541,511"
03/16/2019,03/20/2019,03/16/2019,1.6211,"10,778,178"
03/09/2019,03/13/2019,03/09/2019,1.6098,"11,385,619"
03/09/2019,03/13/2019,03/02/2019,1.5653,"10,746,556"
03/09/2019,03/13/2019,02/23/2019,1.5169,"12,218,659"
03/09/2019,03/13/2019,02/16/2019,1.4665,"11,052,838"
03/09/2019,03/13/2019,02/09/2019,1.4359,"12,131,785"
03/02/2019,03/06/2019,02/02/2019,1.4310,"11,178,752"
03/02/2019,03/06/2019,02/09/2019,1.4356,"11,981,300"
03/02/2019,03/06/2019,02/16/2019,1.4665,"11,052,838"
03/02/2019,03/06/2019,02/23/2019,1.5169,"12,218,659"
03/02/2019,03/06/2019,03/02/2019,1.5656,"10,746,556"
02/23/2019,02/27/2019,02/23/2019,1.5167,"12,208,426"
02/23/2019,02/27/2019,02/16/2019,1.4664,"11,016,344"
02/23/2019,02/27/2019,02/09/2019,1.4356,"11,981,299"
02/23/2019,02/27/2019,02/02/2019,1.4310,"11,178,752"
02/23/2019,02/27/2019,01/26/2019,1.4338,"11,722,354"
02/16/2019,02/21/2019,01/19/2019,1.4313,"11,258,245"
02/16/2019,02/21/2019,01/26/2019,1.4338,"11,722,354"
02/16/2019,02/21/2019,02/02/2019,1.4310,"11,178,752"
02/16/2019,02/21/2019,02/09/2019,1.4352,"11,923,189"
02/16/2019,02/21/2019,02/16/2019,1.4662,"10,997,388"
02/09/2019,02/13/2019,02/09/2019,1.4337,"11,728,379"
02/09/2019,02/13/2019,02/02/2019,1.4310,"11,178,752"
02/09/2019,02/13/2019,01/26/2019,1.4338,"11,722,354"
02/09/2019,02/13/2019,01/19/2019,1.4313,"11,258,245"
02/09/2019,02/13/2019,01/12/2019,1.4272,"13,946,475"
02/02/2019,02/06/2019,01/05/2019,1.4216,"11,018,556"
02/02/2019,02/06/2019,01/12/2019,1.4272,"13,946,475"
02/02/2019,02/06/2019,01/19/2019,1.4313,"11,258,245"
02/02/2019,02/06/2019,01/26/2019,1.4338,"11,722,354"
02/02/2019,02/06/2019,02/02/2019,1.4311,"10,161,803"
01/26/2019,01/30/2019,01/26/2019,1.4323,"11,603,683"
01/26/2019,01/30/2019,01/19/2019,1.4309,"11,219,414"
01/26/2019,01/30/2019,01/12/2019,1.4272,"13,946,475"
01/26/2019,01/30/2019,01/05/2019,1.4216,"11,018,556"
01/26/2019,01/30/2019,12/29/2018,1.3979,"9,935,425"
01/19/2019,01/24/2019,12/22/2018,1.3947,"11,886,415"
01/19/2019,01/24/2019,12/29/2018,1.3979,"9,935,425"
01/19/2019,01/24/2019,01/05/2019,1.4216,"11,018,556"
