Week Ending Date,Report Date,Date,Weighted Price,Weighted Price adjusted to 38% moisture,Sales,Moisture Content
03/30/2019,04/03/2019,03/02/2019,1.4899,1.4178,"11,288,565",34.85
03/30/2019,04/03/2019,03/09/2019,1.5095,1.4370,"11,657,799",34.87
03/30/2019,04/03/2019,03/16/2019,1.5187,1.4467,"11,150,348",34.91
03/30/2019,04/03/2019,03/23/2019,1.5280,1.4573,"12,442,548",34.99
03/30/2019,04/03/2019,03/30/2019,1.5749,1.5029,"11,385,590",35.03
03/23/2019,03/27/2019,03/23/2019,1.5278,1.4570,"12,401,545",34.99
03/23/2019,03/27/2019,03/16/2019,1.5187,1.4467,"11,150,348",34.91
03/23/2019,03/27/2019,03/09/2019,1.5095,1.4370,"11,657,799",34.87
03/23/2019,03/27/2019,03/02/2019,1.4899,1.4178,"11,288,565",34.85
03/23/2019,03/27/2019,02/23/2019,1.4356,1.3675,"11,557,587",34.91
03/16/2019,03/20/2019,02/16/2019,1.3653,1.2969,"13,199,079",34.73
03/16/2019,03/20/2019,02/23/2019,1.4356,1.3675,"11,557,587",34.91
03/16/2019,03/20/2019,03/02/2019,1.4899,1.4178,"11,288,565",34.85
03/16/2019,03/20/2019,03/09/2019,1.5095,1.4370,"11,657,799",34.87
03/16/2019,03/20/2019,03/16/2019,1.5187,1.4467,"11,150,348",34.91
03/09/2019,03/13/2019,03/09/2019,1.5096,1.4371,"11,616,140",34.87
03/09/2019,03/13/2019,03/02/2019,1.4899,1.4178,"11,288,565",34.85
03/09/2019,03/13/2019,02/23/2019,1.4356,1.3675,"11,557,587",34.91
03/09/2019,03/13/2019,02/16/2019,1.3653,1.2969,"13,199,079",34.73
03/09/2019,03/13/2019,02/09/2019,1.3300,1.2639,"12,260,514",34.76
03/02/2019,03/06/2019,02/02/2019,1.3129,1.2492,"9,878,100",34.84
03/02/2019,03/06/2019,02/09/2019,1.3300,1.2639,"12,260,514",34.76
03/02/2019,03/06/2019,02/16/2019,1.3653,1.2969,"13,199,079",34.73
03/02/2019,03/06/2019,02/23/2019,1.4351,1.3671,"11,662,825",34.92
03/02/2019,03/06/2019,03/02/2019,1.4898,1.4178,"11,180,374",34.85
02/23/2019,02/27/2019,02/23/2019,1.4351,1.3671,"11,662,825",34.92
02/23/2019,02/27/2019,02/16/2019,1.3653,1.2969,"13,199,079",34.73
02/23/2019,02/27/2019,02/09/2019,1.3300,1.2639,"12,260,514",34.76
02/23/2019,02/27/2019,02/02/2019,1.3129,1.2492,"9,878,100",34.84
02/23/2019,02/27/2019,01/26/2019,1.3558,1.2875,"11,211,739",34.71
02/16/2019,02/21/2019,01/19/2019,1.3857,1.3152,"13,356,692",34.68
02/16/2019,02/21/2019,01/26/2019,1.3558,1.2875,"11,211,739",34.71
02/16/2019,02/21/2019,02/02/2019,1.3129,1.2492,"9,878,100",34.84
02/16/2019,02/21/2019,02/09/2019,1.3300,1.2639,"12,260,514",34.76
02/16/2019,02/21/2019,02/16/2019,1.3653,1.2969,"13,199,079",34.73
02/09/2019,02/13/2019,02/09/2019,1.3300,1.2639,"12,260,514",34.76
02/09/2019,02/13/2019,02/02/2019,1.3129,1.2492,"9,878,100",34.84
