Week Ending Date,Report Date,Date,Weighted Prices,Sales
03/30/2019,04/03/2019,03/02/2019,2.2610,"6,482,983"
03/30/2019,04/03/2019,03/09/2019,2.2792,"4,109,617"
03/30/2019,04/03/2019,03/16/2019,2.2905,"3,998,746"
03/30/2019,04/03/2019,03/23/2019,2.2600,"5,098,388"
03/30/2019,04/03/2019,03/30/2019,2.2956,"3,150,773"
03/23/2019,03/27/2019,03/23/2019,2.2600,"5,094,805"
03/23/2019,03/27/2019,03/16/2019,2.2905,"3,998,746"
03/23/2019,03/27/2019,03/09/2019,2.2792,"4,109,617"
03/23/2019,03/27/2019,03/02/2019,2.2610,"6,482,983"
03/23/2019,03/27/2019,02/23/2019,2.2594,"4,360,621"
03/16/2019,03/20/2019,02/16/2019,2.2948,"5,216,204"
03/16/2019,03/20/2019,02/23/2019,2.2594,"4,360,621"
03/16/2019,03/20/2019,03/02/2019,2.2610,"6,482,983"
03/16/2019,03/20/2019,03/09/2019,2.2799,"4,068,336"
03/16/2019,03/20/2019,03/16/2019,2.2912,"3,916,128"
03/09/2019,03/13/2019,03/09/2019,2.2797,"3,948,792"
03/09/2019,03/13/2019,03/02/2019,2.2612,"6,441,096"
03/09/2019,03/13/2019,02/23/2019,2.2594,"4,360,621"
03/09/2019,03/13/2019,02/16/2019,2.2948,"5,216,204"
03/09/2019,03/13/2019,02/09/2019,2.2853,"5,696,765"
03/02/2019,03/06/2019,02/02/2019,2.2355,"8,975,840"
03/02/2019,03/06/2019,02/09/2019,2.2853,"5,696,765"
03/02/2019,03/06/2019,02/16/2019,2.2948,"5,216,204"
03/02/2019,03/06/2019,02/23/2019,2.2623,"4,416,781"
03/02/2019,03/06/2019,03/02/2019,2.2612,"6,417,948"
02/23/2019,02/27/2019,02/23/2019,2.2639,"4,104,995"
02/23/2019,02/27/2019,02/16/2019,2.2966,"4,969,344"
02/23/2019,02/27/2019,02/09/2019,2.2859,"5,731,928"
02/23/2019,02/27/2019,02/02/2019,2.2339,"9,182,522"
02/23/2019,02/27/2019,01/26/2019,2.2679,"3,851,948"
02/16/2019,02/21/2019,01/19/2019,2.2282,"12,232,908"
02/16/2019,02/21/2019,01/26/2019,2.2680,"3,852,004"
02/16/2019,02/21/2019,02/02/2019,2.2339,"9,182,577"
