Week Ending Date,Report Date,Date,Weighted Prices,Sales
03/30/2019,04/03/2019,03/02/2019,.9821,"16,899,709"
03/30/2019,04/03/2019,03/09/2019,.9563,"27,844,175"
03/30/2019,04/03/2019,03/16/2019,.9561,"24,860,324"
03/30/2019,04/03/2019,03/23/2019,.9574,"26,182,374"
03/30/2019,04/03/2019,03/30/2019,.9515,"28,005,546"
03/23/2019,03/27/2019,03/23/2019,.9573,"26,015,731"
03/23/2019,03/27/2019,03/16/2019,.9554,"23,827,414"
03/23/2019,03/27/2019,03/09/2019,.9563,"27,844,451"
03/23/2019,03/27/2019,03/02/2019,.9821,"16,899,599"
03/23/2019,03/27/2019,02/23/2019,.9756,"16,215,838"
03/16/2019,03/20/2019,02/16/2019,.9813,"18,165,296"
03/16/2019,03/20/2019,02/23/2019,.9756,"16,215,838"
03/16/2019,03/20/2019,03/02/2019,.9821,"16,899,930"
03/16/2019,03/20/2019,03/09/2019,.9617,"26,171,104"
03/16/2019,03/20/2019,03/16/2019,.9554,"23,827,414"
03/09/2019,03/13/2019,03/09/2019,.9616,"26,129,216"
03/09/2019,03/13/2019,03/02/2019,.9823,"16,858,593"
03/09/2019,03/13/2019,02/23/2019,.9756,"16,215,838"
03/09/2019,03/13/2019,02/16/2019,.9813,"18,165,296"
03/09/2019,03/13/2019,02/09/2019,.9812,"16,379,056"
03/02/2019,03/06/2019,02/02/2019,.9769,"22,594,327"
03/02/2019,03/06/2019,02/09/2019,.9812,"16,379,056"
03/02/2019,03/06/2019,02/16/2019,.9813,"18,165,296"
03/02/2019,03/06/2019,02/23/2019,.9814,"15,296,189"
03/02/2019,03/06/2019,03/02/2019,.9822,"16,900,648"
02/23/2019,02/27/2019,02/23/2019,.9830,"14,542,745"
02/23/2019,02/27/2019,02/16/2019,.9811,"18,083,716"
02/23/2019,02/27/2019,02/09/2019,.9812,"16,295,335"
02/23/2019,02/27/2019,02/02/2019,.9764,"22,595,540"
02/23/2019,02/27/2019,01/26/2019,.9691,"20,297,294"
02/16/2019,02/21/2019,01/19/2019,.9663,"21,403,719"
02/16/2019,02/21/2019,01/26/2019,.9691,"20,297,294"
02/16/2019,02/21/2019,02/02/2019,.9764,"22,499,200"
02/16/2019,02/21/2019,02/09/2019,.9814,"16,256,172"
02/16/2019,02/21/2019,02/16/2019,.9809,"17,861,504"
02/09/2019,02/13/2019,02/09/2019,.9811,"16,069,102"
02/09/2019,02/13/2019,02/02/2019,.9766,"22,333,965"
02/09/2019,02/13/2019,01/26/2019,.9691,"20,297,294"
02/09/2019,02/13/2019,01/19/2019,.9663,"21,403,719"
02/09/2019,02/13/2019,01/12/2019,.9479,"16,821,114"
02/02/2019,02/06/2019,01/05/2019,.9183,"17,999,733"
02/02/2019,02/06/2019,01/12/2019,.9479,"16,821,114"
02/02/2019,02/06/2019,01/19/2019,.9664,"21,403,995"
02/02/2019,02/06/2019,01/26/2019,.9691,"20,297,680"
02/02/2019,02/06/2019,02/02/2019,.9766,"22,023,670"
01/26/2019,01/30/2019,01/26/2019,.9713,"18,638,748"
01/26/2019,01/30/2019,01/19/2019,.9652,"20,897,197"
01/26/2019,01/30/2019,01/12/2019,.9472,"16,388,858"
01/26/2019,01/30/2019,01/05/2019,.9177,"17,670,848"
01/26/2019,01/30/2019,12/29/2018,.9010,"26,105,324"
01/19/2019,01/24/2019,12/22/2018,.9053,"17,595,712"
01/19/2019,01/24/2019,12/29/2018,.9010,"26,105,324"
01/19/2019,01/24/2019,01/05/2019,.9177,"17,670,848"
01/19/2019,01/24/2019,01/12/2019,.9478,"15,962,616"
01/19/2019,01/24/2019,01/19/2019,.9663,"19,963,195"
01/12/2019,01/16/2019,01/12/2019,.9481,"14,906,699"
01/12/2019,01/16/2019,01/05/2019,.9175,"17,585,066"
01/12/2019,01/16/2019,12/29/2018,.9017,"26,061,232"
01/12/2019,01/16/2019,12/22/2018,.9053,"17,595,712"
01/12/2019,01/16/2019,12/15/2018,.9058,"19,973,505"
01/05/2019,01/09/2019,12/08/2018,.8950,"17,780,736"
01/05/2019,01/09/2019,12/15/2018,.9058,"19,973,505"
01/05/2019,01/09/2019,12/22/2018,.9054,"17,680,038"
01/05/2019,01/09/2019,12/29/2018,.9017,"26,103,395"
01/05/2019,01/09/2019,01/05/2019,.9165,"17,412,501"
12/29/2018,01/03/2019,12/29/2018,.9017,"25,918,303"
12/29/2018,01/03/2019,12/22/2018,.9054,"17,506,305"
12/29/2018,01/03/2019,12/15/2018,.9057,"19,652,156"
12/29/2018,01/03/2019,12/08/2018,.8950,"17,780,736"
12/29/2018,01/03/2019,12/01/2018,.8837,"15,587,849"
12/22/2018,12/27/2018,11/24/2018,.8855,"10,199,438"
12/22/2018,12/27/2018,12/01/2018,.8837,"15,587,849"
12/22/2018,12/27/2018,12/08/2018,.8950,"17,780,736"
12/22/2018,12/27/2018,12/15/2018,.9050,"19,319,871"
12/22/2018,12/27/2018,12/22/2018,.9007,"16,962,872"
12/15/2018,12/19/2018,12/15/2018,.9041,"18,614,143"
12/15/2018,12/19/2018,12/08/2018,.8948,"17,737,314"
12/15/2018,12/19/2018,12/01/2018,.8836,"15,587,850"
12/15/2018,12/19/2018,11/24/2018,.8855,"10,199,438"
12/15/2018,12/19/2018,11/17/2018,.8842,"13,027,485"
12/08/2018,12/12/2018,11/10/2018,.8946,"13,181,901"
12/08/2018,12/12/2018,11/17/2018,.8842,"13,027,485"
12/08/2018,12/12/2018,11/24/2018,.8855,"10,199,438"
12/08/2018,12/12/2018,12/01/2018,.8835,"15,504,296"
12/08/2018,12/12/2018,12/08/2018,.8945,"17,269,665"
12/01/2018,12/05/2018,12/01/2018,.8838,"14,724,461"
12/01/2018,12/05/2018,11/24/2018,.8848,"9,863,942"
12/01/2018,12/05/2018,11/17/2018,.8841,"12,943,240"
12/01/2018,12/05/2018,11/10/2018,.8945,"13,265,677"
12/01/2018,12/05/2018,11/03/2018,.8824,"12,249,856"
11/24/2018,11/28/2018,10/27/2018,.8777,"13,128,104"
11/24/2018,11/28/2018,11/03/2018,.8817,"12,249,856"
11/24/2018,11/28/2018,11/10/2018,.8946,"13,181,901"
11/24/2018,11/28/2018,11/17/2018,.8822,"12,277,272"
11/24/2018,11/28/2018,11/24/2018,.8851,"9,802,654"
11/17/2018,11/21/2018,11/17/2018,.8821,"12,177,293"
11/17/2018,11/21/2018,11/10/2018,.8946,"13,181,901"
11/17/2018,11/21/2018,11/03/2018,.8817,"12,249,856"
11/17/2018,11/21/2018,10/27/2018,.8777,"13,128,104"
11/17/2018,11/21/2018,10/20/2018,.8767,"13,786,762"
11/10/2018,11/15/2018,10/13/2018,.8747,"12,576,277"
11/10/2018,11/15/2018,10/20/2018,.8767,"13,786,762"
11/10/2018,11/15/2018,10/27/2018,.8777,"13,128,104"
11/10/2018,11/15/2018,11/03/2018,.8817,"12,166,839"
11/10/2018,11/15/2018,11/10/2018,.8944,"13,159,855"
11/03/2018,11/07/2018,11/03/2018,.8820,"12,376,276"
11/03/2018,11/07/2018,10/27/2018,.8777,"13,128,104"
11/03/2018,11/07/2018,10/20/2018,.8767,"13,788,962"
11/03/2018,11/07/2018,10/13/2018,.8747,"12,576,277"
11/03/2018,11/07/2018,10/06/2018,.8696,"14,668,315"
10/27/2018,10/31/2018,09/29/2018,.8689,"21,867,935"
10/27/2018,10/31/2018,10/06/2018,.8693,"14,542,927"
10/27/2018,10/31/2018,10/13/2018,.8733,"11,711,645"
10/27/2018,10/31/2018,10/20/2018,.8764,"13,258,945"
10/27/2018,10/31/2018,10/27/2018,.8771,"12,467,797"
10/20/2018,10/24/2018,10/20/2018,.8756,"12,439,683"
10/20/2018,10/24/2018,10/13/2018,.8732,"11,670,309"
10/20/2018,10/24/2018,10/06/2018,.8689,"14,372,456"
10/20/2018,10/24/2018,09/29/2018,.8689,"21,867,935"
10/20/2018,10/24/2018,09/22/2018,.8592,"16,983,990"
10/13/2018,10/17/2018,09/15/2018,.8618,"19,016,585"
10/13/2018,10/17/2018,09/22/2018,.8592,"16,983,990"
10/13/2018,10/17/2018,09/29/2018,.8711,"21,261,945"
10/13/2018,10/17/2018,10/06/2018,.8687,"13,644,233"
