Week Ending Date,Report Date,Date,Weighted Prices,Sales
03/30/2019,04/03/2019,03/02/2019,.4231,"6,885,742"
03/30/2019,04/03/2019,03/09/2019,.4094,"7,513,908"
03/30/2019,04/03/2019,03/16/2019,.4159,"7,210,599"
03/30/2019,04/03/2019,03/23/2019,.4118,"6,537,295"
03/30/2019,04/03/2019,03/30/2019,.4020,"5,871,738"
03/23/2019,03/27/2019,03/23/2019,.4118,"6,455,236"
03/23/2019,03/27/2019,03/16/2019,.4161,"7,252,599"
03/23/2019,03/27/2019,03/09/2019,.4094,"7,513,908"
03/23/2019,03/27/2019,03/02/2019,.4231,"6,885,742"
03/23/2019,03/27/2019,02/23/2019,.4249,"6,705,819"
03/16/2019,03/20/2019,02/16/2019,.4563,"7,617,841"
03/16/2019,03/20/2019,02/23/2019,.4249,"6,705,819"
03/16/2019,03/20/2019,03/02/2019,.4231,"6,885,742"
03/16/2019,03/20/2019,03/09/2019,.4089,"7,471,745"
03/16/2019,03/20/2019,03/16/2019,.4150,"6,719,889"
03/09/2019,03/13/2019,03/09/2019,.4088,"7,429,300"
03/09/2019,03/13/2019,03/02/2019,.4214,"6,553,034"
03/09/2019,03/13/2019,02/23/2019,.4246,"6,853,055"
03/09/2019,03/13/2019,02/16/2019,.4556,"7,622,391"
03/09/2019,03/13/2019,02/09/2019,.4686,"8,110,594"
03/02/2019,03/06/2019,02/02/2019,.4669,"6,635,704"
03/02/2019,03/06/2019,02/09/2019,.4686,"8,110,594"
03/02/2019,03/06/2019,02/16/2019,.4558,"7,578,299"
03/02/2019,03/06/2019,02/23/2019,.4246,"6,853,055"
03/02/2019,03/06/2019,03/02/2019,.4216,"6,553,034"
02/23/2019,02/27/2019,02/23/2019,.4246,"6,853,110"
02/23/2019,02/27/2019,02/16/2019,.4555,"7,508,299"
02/23/2019,02/27/2019,02/09/2019,.4686,"8,152,757"
02/23/2019,02/27/2019,02/02/2019,.4669,"6,635,814"
02/23/2019,02/27/2019,01/26/2019,.4790,"6,009,736"
02/16/2019,02/21/2019,01/19/2019,.4829,"5,372,045"
02/16/2019,02/21/2019,01/26/2019,.4790,"6,009,736"
02/16/2019,02/21/2019,02/02/2019,.4669,"6,635,814"
02/16/2019,02/21/2019,02/09/2019,.4686,"8,152,757"
02/16/2019,02/21/2019,02/16/2019,.4537,"7,157,123"
02/09/2019,02/13/2019,02/09/2019,.4682,"8,069,313"
02/09/2019,02/13/2019,02/02/2019,.4669,"6,635,814"
02/09/2019,02/13/2019,01/26/2019,.4790,"6,009,736"
02/09/2019,02/13/2019,01/19/2019,.4830,"5,330,645"
02/09/2019,02/13/2019,01/12/2019,.4764,"4,681,781"
02/02/2019,02/06/2019,01/05/2019,.4829,"3,809,076"
02/02/2019,02/06/2019,01/12/2019,.4764,"4,681,781"
02/02/2019,02/06/2019,01/19/2019,.4833,"5,330,526"
02/02/2019,02/06/2019,01/26/2019,.4783,"6,050,226"
02/02/2019,02/06/2019,02/02/2019,.4694,"6,992,684"
01/26/2019,01/30/2019,01/26/2019,.4798,"5,652,851"
01/26/2019,01/30/2019,01/19/2019,.4835,"5,205,576"
01/26/2019,01/30/2019,01/12/2019,.4762,"4,640,381"
01/26/2019,01/30/2019,01/05/2019,.4829,"3,809,076"
01/26/2019,01/30/2019,12/29/2018,.4698,"3,444,005"
01/19/2019,01/24/2019,12/22/2018,.4727,"5,735,652"
01/19/2019,01/24/2019,12/29/2018,.4698,"3,444,005"
01/19/2019,01/24/2019,01/05/2019,.4827,"3,766,576"
01/19/2019,01/24/2019,01/12/2019,.4762,"4,640,381"
01/19/2019,01/24/2019,01/19/2019,.4833,"4,913,990"
01/12/2019,01/16/2019,01/12/2019,.4769,"4,529,938"
01/12/2019,01/16/2019,01/05/2019,.4823,"3,634,355"
01/12/2019,01/16/2019,12/29/2018,.4702,"3,333,885"
01/12/2019,01/16/2019,12/22/2018,.4727,"5,735,652"
01/12/2019,01/16/2019,12/15/2018,.4672,"5,955,268"
01/05/2019,01/09/2019,12/08/2018,.4647,"6,575,806"
01/05/2019,01/09/2019,12/15/2018,.4672,"5,955,268"
01/05/2019,01/09/2019,12/22/2018,.4727,"5,735,652"
01/05/2019,01/09/2019,12/29/2018,.4702,"3,333,885"
01/05/2019,01/09/2019,01/05/2019,.4843,"3,501,555"
12/29/2018,01/03/2019,12/29/2018,.4718,"2,525,736"
12/29/2018,01/03/2019,12/22/2018,.4727,"5,735,652"
12/29/2018,01/03/2019,12/15/2018,.4672,"5,955,268"
12/29/2018,01/03/2019,12/08/2018,.4647,"6,575,806"
12/29/2018,01/03/2019,12/01/2018,.4595,"6,608,074"
12/22/2018,12/27/2018,11/24/2018,.4568,"4,827,145"
12/22/2018,12/27/2018,12/01/2018,.4595,"6,608,074"
12/22/2018,12/27/2018,12/08/2018,.4647,"6,575,806"
12/22/2018,12/27/2018,12/15/2018,.4671,"5,912,518"
12/22/2018,12/27/2018,12/22/2018,.4728,"4,812,627"
12/15/2018,12/19/2018,12/15/2018,.4674,"5,830,518"
12/15/2018,12/19/2018,12/08/2018,.4646,"6,491,969"
12/15/2018,12/19/2018,12/01/2018,.4595,"6,608,074"
12/15/2018,12/19/2018,11/24/2018,.4568,"4,827,145"
12/15/2018,12/19/2018,11/17/2018,.4650,"7,232,787"
12/08/2018,12/12/2018,11/10/2018,.4624,"5,839,187"
12/08/2018,12/12/2018,11/17/2018,.4650,"7,232,787"
12/08/2018,12/12/2018,11/24/2018,.4568,"4,827,145"
12/08/2018,12/12/2018,12/01/2018,.4595,"6,608,074"
12/08/2018,12/12/2018,12/08/2018,.4641,"6,407,932"
12/01/2018,12/05/2018,12/01/2018,.4597,"6,462,011"
12/01/2018,12/05/2018,11/24/2018,.4568,"4,827,145"
12/01/2018,12/05/2018,11/17/2018,.4651,"7,275,287"
12/01/2018,12/05/2018,11/10/2018,.4624,"5,839,187"
12/01/2018,12/05/2018,11/03/2018,.4681,"5,510,722"
11/24/2018,11/28/2018,10/27/2018,.4546,"5,579,993"
11/24/2018,11/28/2018,11/03/2018,.4681,"5,510,722"
11/24/2018,11/28/2018,11/10/2018,.4624,"5,839,187"
11/24/2018,11/28/2018,11/17/2018,.4651,"7,275,287"
11/24/2018,11/28/2018,11/24/2018,.4587,"4,528,377"
11/17/2018,11/21/2018,11/17/2018,.4671,"6,821,393"
11/17/2018,11/21/2018,11/10/2018,.4622,"5,795,095"
11/17/2018,11/21/2018,11/03/2018,.4681,"5,510,722"
11/17/2018,11/21/2018,10/27/2018,.4546,"5,579,993"
11/17/2018,11/21/2018,10/20/2018,.4533,"5,642,763"
11/10/2018,11/15/2018,10/13/2018,.4408,"5,802,954"
11/10/2018,11/15/2018,10/20/2018,.4533,"5,642,763"
11/10/2018,11/15/2018,10/27/2018,.4546,"5,579,993"
11/10/2018,11/15/2018,11/03/2018,.4681,"5,510,722"
11/10/2018,11/15/2018,11/10/2018,.4625,"5,755,995"
11/03/2018,11/07/2018,11/03/2018,.4691,"5,429,386"
11/03/2018,11/07/2018,10/27/2018,.4548,"5,582,084"
11/03/2018,11/07/2018,10/20/2018,.4533,"5,642,763"
11/03/2018,11/07/2018,10/13/2018,.4408,"5,802,954"
11/03/2018,11/07/2018,10/06/2018,.4420,"5,251,523"
10/27/2018,10/31/2018,09/29/2018,.4120,"7,498,595"
10/27/2018,10/31/2018,10/06/2018,.4420,"5,251,523"
10/27/2018,10/31/2018,10/13/2018,.4360,"5,692,834"
10/27/2018,10/31/2018,10/20/2018,.4533,"5,561,163"
10/27/2018,10/31/2018,10/27/2018,.4577,"5,087,324"
10/20/2018,10/24/2018,10/20/2018,.4588,"5,039,598"
10/20/2018,10/24/2018,10/13/2018,.4373,"5,605,084"
10/20/2018,10/24/2018,10/06/2018,.4420,"5,251,523"
10/20/2018,10/24/2018,09/29/2018,.4120,"7,498,595"
10/20/2018,10/24/2018,09/22/2018,.4080,"7,488,454"
10/13/2018,10/17/2018,09/15/2018,.4038,"6,216,255"
10/13/2018,10/17/2018,09/22/2018,.4081,"7,444,362"
10/13/2018,10/17/2018,09/29/2018,.4089,"7,837,552"
10/13/2018,10/17/2018,10/06/2018,.4391,"5,166,892"
10/13/2018,10/17/2018,10/13/2018,.4367,"5,244,956"
10/06/2018,10/11/2018,10/06/2018,.4410,"5,002,419"
10/06/2018,10/11/2018,09/29/2018,.4088,"7,879,715"
10/06/2018,10/11/2018,09/22/2018,.4081,"7,444,362"
10/06/2018,10/11/2018,09/15/2018,.4038,"6,216,255"
10/06/2018,10/11/2018,09/08/2018,.3928,"4,956,746"
09/29/2018,10/03/2018,09/01/2018,.3796,"4,983,968"
09/29/2018,10/03/2018,09/08/2018,.3928,"4,956,746"
09/29/2018,10/03/2018,09/15/2018,.4038,"6,216,366"
09/29/2018,10/03/2018,09/22/2018,.4112,"7,205,393"
09/29/2018,10/03/2018,09/29/2018,.4167,"7,073,243"
09/22/2018,09/26/2018,09/22/2018,.4154,"6,784,148"
09/22/2018,09/26/2018,09/15/2018,.4072,"6,043,666"
09/22/2018,09/26/2018,09/08/2018,.3939,"4,914,746"
09/22/2018,09/26/2018,09/01/2018,.3796,"4,983,968"
09/22/2018,09/26/2018,08/25/2018,.3763,"5,972,047"
09/15/2018,09/19/2018,08/18/2018,.3798,"5,447,067"
09/15/2018,09/19/2018,08/25/2018,.3763,"5,972,047"
09/15/2018,09/19/2018,09/01/2018,.3796,"4,983,968"
09/15/2018,09/19/2018,09/08/2018,.3951,"4,852,746"
09/15/2018,09/19/2018,09/15/2018,.4185,"5,500,547"
09/08/2018,09/12/2018,09/08/2018,.3972,"4,503,682"
09/08/2018,09/12/2018,09/01/2018,.3792,"4,942,081"
09/08/2018,09/12/2018,08/25/2018,.3763,"5,972,047"
09/08/2018,09/12/2018,08/18/2018,.3798,"5,447,067"
09/08/2018,09/12/2018,08/11/2018,.3606,"6,475,587"
09/01/2018,09/06/2018,08/04/2018,.3550,"5,257,104"
09/01/2018,09/06/2018,08/11/2018,.3606,"6,475,587"
09/01/2018,09/06/2018,08/18/2018,.3796,"5,262,731"
09/01/2018,09/06/2018,08/25/2018,.3763,"5,972,047"
09/01/2018,09/06/2018,09/01/2018,.3867,"4,454,690"
08/25/2018,08/29/2018,08/25/2018,.3769,"5,687,424"
08/25/2018,08/29/2018,08/18/2018,.3813,"5,094,842"
08/25/2018,08/29/2018,08/11/2018,.3604,"6,433,698"
08/25/2018,08/29/2018,08/04/2018,.3550,"5,257,104"
08/25/2018,08/29/2018,07/28/2018,.3394,"5,420,484"
08/18/2018,08/22/2018,07/21/2018,.3377,"7,402,634"
08/18/2018,08/22/2018,07/28/2018,.3394,"5,420,484"
08/18/2018,08/22/2018,08/04/2018,.3544,"5,201,989"
08/18/2018,08/22/2018,08/11/2018,.3609,"6,391,198"
08/18/2018,08/22/2018,08/18/2018,.3838,"4,966,515"
08/11/2018,08/15/2018,08/11/2018,.3622,"6,220,787"
08/11/2018,08/15/2018,08/04/2018,.3542,"5,201,989"
08/11/2018,08/15/2018,07/28/2018,.3389,"5,507,484"
08/11/2018,08/15/2018,07/21/2018,.3377,"7,402,634"
08/11/2018,08/15/2018,07/14/2018,.3357,"5,612,767"
08/04/2018,08/08/2018,07/07/2018,.3366,"4,126,143"
08/04/2018,08/08/2018,07/14/2018,.3357,"5,612,712"
08/04/2018,08/08/2018,07/21/2018,.3377,"7,402,634"
08/04/2018,08/08/2018,07/28/2018,.3389,"5,507,484"
08/04/2018,08/08/2018,08/04/2018,.3543,"5,139,489"
07/28/2018,08/01/2018,07/28/2018,.3389,"5,507,484"
07/28/2018,08/01/2018,07/21/2018,.3374,"7,319,576"
07/28/2018,08/01/2018,07/14/2018,.3357,"5,612,712"
07/28/2018,08/01/2018,07/07/2018,.3365,"4,126,143"
07/28/2018,08/01/2018,06/30/2018,.3232,"5,478,015"
07/21/2018,07/25/2018,06/23/2018,.3234,"6,037,173"
07/21/2018,07/25/2018,06/30/2018,.3232,"5,478,015"
07/21/2018,07/25/2018,07/07/2018,.3365,"4,083,980"
07/21/2018,07/25/2018,07/14/2018,.3357,"5,612,712"
07/21/2018,07/25/2018,07/21/2018,.3374,"7,278,240"
07/14/2018,07/18/2018,07/14/2018,.3358,"5,568,576"
07/14/2018,07/18/2018,07/07/2018,.3365,"4,083,980"
07/14/2018,07/18/2018,06/30/2018,.3232,"5,478,015"
07/14/2018,07/18/2018,06/23/2018,.3234,"6,037,173"
07/14/2018,07/18/2018,06/16/2018,.3095,"6,887,396"
07/07/2018,07/11/2018,06/09/2018,.2984,"6,195,828"
07/07/2018,07/11/2018,06/16/2018,.3095,"6,887,396"
07/07/2018,07/11/2018,06/23/2018,.3234,"6,037,173"
07/07/2018,07/11/2018,06/30/2018,.3232,"5,478,015"
07/07/2018,07/11/2018,07/07/2018,.3364,"4,083,980"
06/30/2018,07/05/2018,06/30/2018,.3233,"5,477,016"
06/30/2018,07/05/2018,06/23/2018,.3234,"6,037,174"
06/30/2018,07/05/2018,06/16/2018,.3094,"6,804,345"
06/30/2018,07/05/2018,06/09/2018,.2985,"6,153,665"
